Start at: Wed Mar 09 2016 17:52:38 GMT+0800 (CST)

All Comments: 1615
DeviceType          Count               Percent
android             736                 45.57275541795666%
unknown             351                 21.73374613003096%
win10               329                 20.371517027863778%
iphone              270                 16.718266253869967%
wp                  141                 8.730650154798763%
windows8            100                 6.191950464396285%
ipad                25                  1.5479876160990713%
qiyu                11                  0.6811145510835914%
itouch              3                   0.18575851393188852%

All Devices: 1615DeviceInfo          Count               Percent
unknown             351                 21.73374613003096%
诺基亚 Lumia 1520      74                  4.58204334365325%
Win10客户端            68                  4.2105263157894735%
诺基亚 Lumia 930       64                  3.9628482972136228%
iPhone 6            63                  3.900928792569659%
诺基亚 Lumia 830       56                  3.4674922600619196%
诺基亚 Lumia 1020      46                  2.848297213622291%
微软 Lumia 640        45                  2.786377708978328%
小米 4                30                  1.8575851393188854%
iPhone 6 Plus       30                  1.8575851393188854%
iPhone 5s 土豪金       30                  1.8575851393188854%
Android 客户端         26                  1.609907120743034%
三星 Galaxy S7  edge  24                  1.4860681114551082%
诺基亚 Lumia 638       23                  1.4241486068111455%
三星 Galaxy S6 edge   22                  1.3622291021671828%
诺基亚 Lumia 920       21                  1.3003095975232197%
魅族 MX4              21                  1.3003095975232197%
微软 Lumia 950 XL     20                  1.238390092879257%
微软 Lumia 640 XL     20                  1.238390092879257%
iPhone 6s 深空灰       19                  1.1764705882352942%
HTC One M8          19                  1.1764705882352942%
HTC One M7          19                  1.1764705882352942%
iPhone 6s Plus 银    17                  1.0526315789473684%
荣耀6                 16                  0.9907120743034057%
小米4c                16                  0.9907120743034057%
iPhone 5s 深空灰       16                  0.9907120743034057%
iPhone 6s 金         15                  0.9287925696594427%
iPhone 5s 月光银       15                  0.9287925696594427%
iPhone 6s 银         14                  0.8668730650154799%
iPad mini 2         14                  0.8668730650154799%
三星 Galaxy Note 5    13                  0.804953560371517%
诺基亚 Lumia 920T      13                  0.804953560371517%
一加手机                13                  0.804953560371517%
魅蓝 Note 2           13                  0.804953560371517%
魅蓝 metal            13                  0.804953560371517%
坚果手机                12                  0.7430340557275541%
红米 Note 3           11                  0.6811145510835914%
诺基亚 Lumia 1320      11                  0.6811145510835914%
魅族 Pro 5            11                  0.6811145510835914%
Moto X 2014         11                  0.6811145510835914%
魅族 MX5              11                  0.6811145510835914%
Nexus 6             10                  0.6191950464396285%
旗鱼浏览器               10                  0.6191950464396285%
iPhone 6s Plus 深空灰  10                  0.6191950464396285%
魅族 MX4 Pro          10                  0.6191950464396285%
红米 Note 2           10                  0.6191950464396285%
魅蓝 Note             10                  0.6191950464396285%
索尼 Xperia Z3        10                  0.6191950464396285%
联想 乐檬K3 Note        10                  0.6191950464396285%
诺基亚 Lumia Icon      9                   0.5572755417956656%
iPhone 5            9                   0.5572755417956656%
iPhone 6s Plus 金    9                   0.5572755417956656%
三星 Galaxy Note 3    9                   0.5572755417956656%
诺基亚 Lumia 925       9                   0.5572755417956656%
三星 Galaxy S5        8                   0.49535603715170284%
Surface Pro 3       8                   0.49535603715170284%
Moto X              8                   0.49535603715170284%
三星 Galaxy S6        8                   0.49535603715170284%
诺基亚 Lumia 928       8                   0.49535603715170284%
HTC One M9          8                   0.49535603715170284%
诺基亚 N1              7                   0.43343653250773995%
HTC One M8 for Windows7                   0.43343653250773995%
Nexus 6P            7                   0.43343653250773995%
索尼 Xperia Z5 尊享版    7                   0.43343653250773995%
华为 Mate 8           7                   0.43343653250773995%
魅蓝 2                7                   0.43343653250773995%
华为 P8               7                   0.43343653250773995%
索尼 Xperia Z2        6                   0.37151702786377705%
小米 Note 顶配版         6                   0.37151702786377705%
微软 Lumia 950        6                   0.37151702786377705%
HTC One A9          6                   0.37151702786377705%
Nexus 5             6                   0.37151702786377705%
小米 5                6                   0.37151702786377705%
索尼 Xperia Z5        6                   0.37151702786377705%
奇酷手机                5                   0.30959752321981426%
微软 Lumia 535        5                   0.30959752321981426%
小米 Note             5                   0.30959752321981426%
Moto X Style        5                   0.30959752321981426%
LG G3               5                   0.30959752321981426%
Surface Pro 4       5                   0.30959752321981426%
荣耀 7                5                   0.30959752321981426%
LG G4               5                   0.30959752321981426%
小米 3                5                   0.30959752321981426%
华为 Mate 7           5                   0.30959752321981426%
黑莓 Passport         5                   0.30959752321981426%
iPhone 5c  白        5                   0.30959752321981426%
红米 2                4                   0.24767801857585142%
诺基亚 Lumia 720       4                   0.24767801857585142%
iPhone 4s 白         4                   0.24767801857585142%
红米 3                4                   0.24767801857585142%
索尼 Xperia Z3+       4                   0.24767801857585142%
Smartisan T1        4                   0.24767801857585142%
iPhone 6s Plus 玫瑰金  4                   0.24767801857585142%
荣耀 6                4                   0.24767801857585142%
一加手机 2              4                   0.24767801857585142%
索尼 Xperia Z3C       4                   0.24767801857585142%
中兴 V5               4                   0.24767801857585142%
iPad Air 2          3                   0.18575851393188852%
iPad mini 4         3                   0.18575851393188852%
The new iPod touch  3                   0.18575851393188852%
iPhone 6s 玫瑰金       3                   0.18575851393188852%
魅族 Note 2           3                   0.18575851393188852%
